Time(ms),Temp(C),Pressure(hPa),Alt(m),FiltAlt(m),AccX(g),AccY(g),AccZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),LM35Temp(C)
3235,19.62,1040.16,668.48,668.48,-0.01,0.01,0.97,3.60,-0.21,-1.45,7.66,-74.06,-5.56,20.51
3266,19.62,1040.16,668.48,668.48,-0.01,0.01,0.97,3.72,-0.35,-1.54,7.68,-74.27,-5.60,21.00
3299,19.62,1040.13,668.77,668.54,-0.01,0.01,0.96,3.48,-0.64,-1.43,7.70,-74.49,-5.65,21.00
3331,19.62,1040.13,668.77,668.59,-0.01,0.01,0.97,3.58,-0.58,-1.61,7.72,-74.70,-5.70,20.02
3363,19.62,1040.13,668.77,668.62,-0.01,0.01,0.98,3.45,-0.67,-1.72,7.73,-74.91,-5.76,20.51
3394,19.62,1040.15,668.62,668.62,-0.01,0.01,0.97,3.46,0.02,-1.75,7.74,-75.09,-5.81,20.02
3425,19.62,1040.15,668.62,668.62,-0.00,0.01,0.96,3.57,-0.35,-1.58,7.75,-75.29,-5.86,20.02
3457,19.62,1040.15,668.62,668.62,-0.01,0.01,0.97,3.54,-0.35,-1.49,7.76,-75.48,-5.91,20.51
3491,19.62,1040.16,668.47,668.59,-0.01,0.01,0.97,3.40,-0.33,-1.60,7.78,-75.66,-5.96,21.00
3522,19.62,1040.16,668.47,668.57,-0.01,0.01,0.97,3.62,-0.29,-1.48,7.79,-75.84,-6.01,19.53
3553,19.62,1040.16,668.47,668.55,-0.01,0.01,0.97,3.63,-0.07,-1.40,7.81,-76.00,-6.05,21.00
3585,19.62,1040.15,668.57,668.55,-0.01,0.02,0.96,3.57,-0.29,-1.52,7.83,-76.17,-6.10,21.00
3617,19.62,1040.15,668.57,668.56,-0.02,0.01,0.98,3.55,-0.56,-1.58,7.85,-76.35,-6.15,21.00
3650,19.62,1040.15,668.57,668.56,-0.01,0.01,0.97,3.58,-0.15,-1.65,7.87,-76.51,-6.21,20.51
3681,19.62,1040.15,668.57,668.56,-0.01,0.01,0.97,3.71,-0.35,-1.34,7.88,-76.67,-6.25,21.00
3713,19.62,1040.15,668.57,668.56,-0.01,0.01,0.97,3.54,-0.58,-1.63,7.89,-76.84,-6.30,21.00
3745,19.62,1040.15,668.57,668.56,-0.01,0.01,0.97,3.65,-0.74,-1.58,7.91,-77.01,-6.35,21.00
3776,19.62,1040.13,668.72,668.59,-0.01,0.01,0.97,3.80,-0.64,-1.36,7.93,-77.17,-6.39,20.02
3808,19.62,1040.13,668.72,668.62,-0.02,0.01,0.97,3.78,-0.71,-1.43,7.95,-77.32,-6.44,21.00
3842,19.62,1040.13,668.72,668.64,-0.00,0.01,0.97,3.45,-0.27,-1.92,7.96,-77.48,-6.50,20.02
3874,19.62,1040.16,668.55,668.62,-0.01,0.01,0.97,3.51,0.14,-1.81,7.96,-77.62,-6.56,21.00
3906,19.62,1040.16,668.55,668.61,-0.01,0.01,0.97,3.55,-0.19,-1.54,7.97,-77.76,-6.61,20.02
3937,19.62,1040.16,668.55,668.60,-0.01,0.01,0.96,3.71,-0.24,-1.66,7.98,-77.89,-6.66,20.51
